0, 65955
1, 65555
2, 65694
3, 65712
4, 65506
5, 65716
6, 65984
7, 65918
8, 65472
9, 65820
10, 65198
11, 65512
12, 65545
13, 65557
14, 65549
15, 64910
16, 65265
17, 65741
18, 65570
19, 65293
20, 65480
21, 65241
22, 65354
23, 65768
24, 65288
25, 65518
26, 65301
27, 64990
28, 65520
29, 65403
30, 65693
31, 65440
32, 65416
33, 65542
34, 65310
35, 65270
36, 65869
37, 65487
38, 65443
39, 65406
40, 65562
41, 65315
42, 65255
43, 65752
44, 65473
45, 65471
46, 65373
47, 65365
48, 65539
49, 65235
50, 65093
51, 65432
52, 65645
53, 65555
54, 65471
55, 65181
56, 65890
57, 64958
58, 65470
59, 65706
60, 65209
61, 65295
62, 65421
63, 65328
64, 65798
65, 65848
66, 65289
67, 65815
68, 65860
69, 65994
70, 65595
71, 65617
72, 66082
73, 65866
74, 65718
75, 65777
76, 65871
77, 65419
78, 65531
79, 65413
80, 65084
81, 65139
82, 65104
83, 65373
84, 65796
85, 65636
86, 65243
87, 65280
88, 65388
89, 65461
90, 65713
91, 66061
92, 65024
93, 65614
94, 65670
95, 65479
96, 65878
97, 65312
98, 65414
99, 65815
100, 65432
101, 65350
102, 65727
103, 65635
104, 65851
105, 65395
106, 65690
107, 65158
108, 65277
109, 65159
110, 65890
111, 65449
112, 64984
113, 65864
114, 65765
115, 66090
116, 65284
117, 65777
118, 65390
119, 65488
120, 65418
121, 65458
122, 65580
123, 65753
124, 65673
125, 66018
126, 65225
127, 65712
128, 65453
129, 64861
130, 65017
131, 65861
132, 65753
133, 65962
134, 66104
135, 65961
136, 65391
137, 65380
138, 65348
139, 65527
140, 65516
141, 65554
142, 65604
143, 65471
144, 65268
145, 65604
146, 65505
147, 65390
148, 65528
149, 65743
150, 65458
151, 65220
152, 65402
153, 65214
154, 65521
155, 65722
156, 65226
157, 66011
158, 65501
159, 65529
160, 65284
161, 65818
162, 65212
163, 65572
164, 65800
165, 65607
166, 65788
167, 64993
168, 65952
169, 65446
170, 65752
171, 65534
172, 65561
173, 65561
174, 65646
175, 65740
176, 65608
177, 65916
178, 65641
179, 66105
180, 65166
181, 65718
182, 65483
183, 65975
184, 65791
185, 65593
186, 65532
187, 65320
188, 65908
189, 65228
190, 65444
191, 65666
192, 65487
193, 65542
194, 65759
195, 65238
196, 65978
197, 65105
198, 65680
199, 65408
200, 65547
201, 65905
202, 65731
203, 65743
204, 65321
205, 65424
206, 65912
207, 65430
208, 65950
209, 65832
210, 65257
211, 65609
212, 65545
213, 65362
214, 65842
215, 65396
216, 65774
217, 65851
218, 65530
219, 65557
220, 65846
221, 65152
222, 65027
223, 65819
224, 65014
225, 65390
226, 65408
227, 65290
228, 65715
229, 65921
230, 65521
231, 65119
232, 65241
233, 65286
234, 65773
235, 65460
236, 65273
237, 65299
238, 65375
239, 65588
240, 65490
241, 65441
242, 65145
243, 65449
244, 65703
245, 65977
246, 65615
247, 65678
248, 65443
249, 65576
250, 65749
251, 65639
252, 65403
253, 65851
254, 65713
255, 65473
